City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Rikitea,PF,78.57,clear sky,-23.1203,-134.9692,People ThankYou
7,Butaritari,KI,81.63,light rain,3.0707,172.7902,Isles Sunset Lodge
11,Atuona,PF,79.29,few clouds,-9.8,-139.0333,Villa Enata
15,Busselton,AU,76.12,broken clouds,-33.65,115.3333,Observatory Guest House
16,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
21,Sur,OM,88.43,clear sky,22.5667,59.5289,Sur Plaza Hotel
22,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
25,Batticaloa,LK,83.17,broken clouds,7.7102,81.6924,Grand Star Guest House
26,Kavieng,PG,82.58,light rain,-2.5744,150.7967,Nusa Island Retreat
30,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
35,Waingapu,ID,86.49,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
41,Uberaba,BR,75.78,clear sky,-19.7483,-47.9319,Tamareiras Park Hotel
42,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
43,Caravelas,BR,75.51,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
45,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
46,Wanning,CN,78.6,broken clouds,18.8003,110.3967,Paradise Hotel
60,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
61,Vung Tau,VN,82.4,overcast clouds,10.346,107.0843,Seaside Resort
63,Puerto Ayora,EC,77.52,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
73,Susangerd,IR,79.45,overcast clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
75,Esperance,AU,76.84,clear sky,-33.8667,121.9,Hospitality Esperance
80,Basco,PH,75.61,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
87,Garissa,KE,78.49,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
93,Darnah,LY,78.53,overcast clouds,32.767,22.6367,فندق الفردوس
97,San Patricio,US,75.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
100,Mana,GF,76.41,broken clouds,5.6592,-53.7767,LE SAMANA
108,Faanui,PF,82.56,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
113,Bilma,NE,81.41,clear sky,18.6853,12.9164,Expeditions Ténére voyages
120,Soyo,AO,77.38,overcast clouds,-6.1349,12.3689,Hotel Mpampa
125,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
127,Port Augusta,AU,76.26,clear sky,-32.5,137.7667,Majestic Oasis Apartments
134,Taitung,TW,75.47,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
136,Phan Thiet,VN,86.79,overcast clouds,10.9333,108.1,Hotel Saigon-PT
137,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
140,Porto Novo,BJ,76.82,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
142,Victoria,HK,81.97,scattered clouds,22.2855,114.1577,Mini Hotel Central
146,Ugoofaaru,MV,83.55,few clouds,5.6667,73.0,Ungoofaaru Inn
148,Maumere,ID,86.67,broken clouds,-8.6199,122.2111,Sylvia Hotel
151,Diffa,NE,82.83,scattered clouds,13.3154,12.6113,ProDAF/Diffa
154,Hithadhoo,MV,82.29,clear sky,-0.6,73.0833,Scoop Guest House
162,Kudahuvadhoo,MV,83.25,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
