,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Poum,NC,-20.2333,164.0167,81.36,83,100,24.4,overcast clouds
1,Airai,TL,-8.9266,125.4092,76.82,49,61,3.65,broken clouds
2,Barrow,US,71.2906,-156.7887,-5.78,77,100,10.36,overcast clouds
3,Faya,SA,18.3851,42.4509,55.51,12,0,4.12,clear sky
4,Rikitea,PF,-23.1203,-134.9692,78.57,66,1,11.92,clear sky
5,Cherskiy,RU,68.75,161.3,-2.15,86,56,3.09,broken clouds
6,Qaanaaq,GL,77.484,-69.3632,-1.89,92,95,7.52,overcast clouds
7,Butaritari,KI,3.0707,172.7902,81.63,77,63,17.4,light rain
8,Lagoa,PT,39.05,-27.9833,60.91,86,100,22.26,overcast clouds
9,Collipulli,CL,-37.95,-72.4333,53.62,85,100,3.62,overcast clouds
10,Yanam,IN,16.7333,82.2167,93.47,40,58,4.03,broken clouds
11,Atuona,PF,-9.8,-139.0333,79.29,75,15,17.02,few clouds
12,Bluff,NZ,-46.6,168.3333,53.96,60,72,15.82,broken clouds
13,Owase,JP,34.0667,136.2,67.46,52,95,8.68,overcast clouds
14,Cabo San Lucas,MX,22.8909,-109.9124,70.52,71,2,9.62,clear sky
15,Busselton,AU,-33.65,115.3333,76.12,43,66,10.36,broken clouds
16,Kapaa,US,22.0752,-159.319,80.58,77,20,18.41,few clouds
17,Ushuaia,AR,-54.8,-68.3,38.86,70,40,16.11,scattered clouds
18,Vaini,TO,-21.2,-175.2,82.56,83,75,6.91,broken clouds
19,Jamestown,US,42.097,-79.2353,53.24,75,100,9.22,moderate rain
20,Vostok,RU,46.4856,135.8833,30.7,54,89,12.41,overcast clouds
21,Sur,OM,22.5667,59.5289,88.43,36,0,4.68,clear sky
22,Saint-Pierre,RE,-21.3393,55.4781,76.68,81,20,11.5,few clouds
23,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,71.76,98,82,5.48,broken clouds
24,Luderitz,NA,-26.6481,15.1594,61.05,63,98,16.49,overcast clouds
25,Batticaloa,LK,7.7102,81.6924,83.17,71,52,7.36,broken clouds
26,Kavieng,PG,-2.5744,150.7967,82.58,76,100,10.38,light rain
27,Teguldet,RU,57.3064,88.1667,37.47,76,57,12.8,broken clouds
28,Yellowknife,CA,62.456,-114.3525,30.72,64,20,4.61,few clouds
29,Vardo,NO,70.3705,31.1107,32.94,82,100,21.21,light snow
30,Makakilo City,US,21.3469,-158.0858,79.12,60,75,12.66,broken clouds
31,Krasnokholm,RU,51.5979,54.1567,40.5,92,65,8.5,broken clouds
32,Tasiilaq,GL,65.6145,-37.6368,26.76,93,94,5.57,overcast clouds
33,Forest Grove,US,45.5198,-123.1107,60.1,53,0,8.05,clear sky
34,Bredasdorp,ZA,-34.5322,20.0403,56.84,68,95,5.7,light rain
35,Waingapu,ID,-9.6567,120.2641,86.49,61,68,5.61,broken clouds
