City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avera,US,2022-04-06 16:22:06,33.194,-82.5271,72.91,91,100,10.27
1,Cape Town,ZA,2022-04-06 16:20:27,-33.9258,18.4232,63.27,60,40,11.5
2,Kapaa,US,2022-04-06 16:22:08,22.0752,-159.319,67.98,97,20,5.75
3,Butaritari,KI,2022-04-06 16:22:08,3.0707,172.7902,81.54,73,100,20.56
4,Monroe,US,2022-04-06 16:17:49,43.1501,-77.6831,60.42,66,75,9.22
5,Yellowknife,CA,2022-04-06 16:22:05,62.456,-114.3525,19.92,86,75,4.61
6,Vaini,TO,2022-04-06 16:22:09,-21.2,-175.2,73.56,100,75,0.0
7,Kitui,KE,2022-04-06 16:22:09,-1.367,38.0106,73.42,54,1,6.8
8,Thompson,CA,2022-04-06 16:22:05,55.7435,-97.8558,28.56,80,100,9.22
9,Sioux Lookout,CA,2022-04-06 16:22:10,50.1001,-91.917,33.87,93,100,10.36
10,Tuatapere,NZ,2022-04-06 16:22:10,-46.1333,167.6833,46.08,77,97,2.17
11,Hermanus,ZA,2022-04-06 16:22:10,-34.4187,19.2345,61.81,62,94,15.5
12,Airai,TL,2022-04-06 16:22:11,-8.9266,125.4092,58.89,89,49,2.21
13,Avarua,CK,2022-04-06 16:22:11,-21.2078,-159.775,75.25,94,96,2.3
14,Dikson,RU,2022-04-06 16:22:11,73.5069,80.5464,0.57,91,87,19.82
15,Cornesti,RO,2022-04-06 16:22:12,44.7833,25.8667,67.35,42,0,2.91
16,Barrow,US,2022-04-06 16:22:12,71.2906,-156.7887,-23.78,76,0,10.36
17,Tasiilaq,GL,2022-04-06 16:22:12,65.6145,-37.6368,33.96,80,62,1.52
18,Bandarbeyla,SO,2022-04-06 16:22:13,9.4942,50.8122,80.06,71,10,8.97
19,Kaitangata,NZ,2022-04-06 16:22:13,-46.2817,169.8464,46.8,67,100,9.15
20,Lagoa,PT,2022-04-06 16:22:14,39.05,-27.9833,60.71,87,59,22.28
21,Bluff,NZ,2022-04-06 16:22:14,-46.6,168.3333,49.91,57,97,13.73
